data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7159862,804,UKR39259,39259,"10 July 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","NAF: United Armed Forces of Novorossiya",,2,"Military Forces of Ukraine (2019-)",,1,12,Europe,Ukraine,Luhansk,Sievierodonetskyi,Hirska,Prychepylivka,48.7574,38.6912,2,"JFO HQ press centre; Ministry of Defence of Ukraine",Other,"On 10 July 2020, the NAF rebel forces fired 120mm mortars at the governmental positions near Prychepylivka, Luhansk. During the day, one Ukrainian soldier was killed and three were wounded at unspecified locations [1 fatality split among 11 events].",1,1618500245,UKR
7159863,804,UKR39260,39260,"10 July 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","NAF: United Armed Forces of Novorossiya",,2,"Military Forces of Ukraine (2019-)",,1,12,Europe,Ukraine,Luhansk,Sievierodonetskyi,Hirska,Orikhove,48.7191,38.5695,2,"JFO HQ press centre; Ministry of Defence of Ukraine",Other,"On 10 July 2020, the NAF rebel forces fired 120mm mortars at the governmental positions near Orikhove, Luhansk. During the day, one Ukrainian soldier was killed and three were wounded at unspecified locations [1 fatality split among 11 events].",0,1618500245,UKR
7159864,804,UKR39261,39261,"10 July 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","NAF: United Armed Forces of Novorossiya",,2,"Military Forces of Ukraine (2019-)",,1,12,Europe,Ukraine,Luhansk,Sievierodonetskyi,Popasnianska,Troitske,48.5337,38.4,2,"Ministry of Defence of Ukraine; JFO HQ press centre",Other,"On 10 July 2020, the NAF rebel forces fired 120mm mortars at the governmental positions near Troitske, Luhansk. During the day, one Ukrainian soldier was killed and three were wounded at unspecified locations [1 fatality split among 11 events].",0,1618500246,UKR
7159865,804,UKR39262,39262,"10 July 2020",2020,1,Battles,"Armed clash","NAF: United Armed Forces of Novorossiya",,2,"Military Forces of Ukraine (2019-)",,1,12,Europe,Ukraine,Luhansk,Sievierodonetskyi,Hirska,"Khutir Vilny",48.6828,38.5508,2,"Ministry of Defence of Ukraine; JFO HQ press centre; OSCE SMM-Ukraine",Other,"On 10 July 2020, the NAF rebel forces fired 120mm mortars at the governmental positions near Khutir Vilny, Luhansk. The OSCE SMM observed a total of 10 projectiles/bursts of fire involving small arms/unknown weapons in both directions of the frontline near Khutir Vilny. During the day, one Ukrainian soldier was killed and three were wounded at unspecified locations [1 fatality split among 11 events].",0,1618500246,UKR
7159866,804,UKR39263,39263,"10 July 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","NAF: United Armed Forces of Novorossiya",,2,"Military Forces of Ukraine (2019-)",,1,12,Europe,Ukraine,Luhansk,Sievierodonetskyi,Hirska,Novotoshkivske,48.7234,38.635,2,"JFO HQ press centre; Ministry of Defence of Ukraine",Other,"On 10 July 2020, the NAF rebel forces fired 120mm and 82mm mortars at the governmental positions near Novotoshkivske, Luhansk. During the day, one Ukrainian soldier was killed and three were wounded at unspecified locations [1 fatality split among 11 events].",0,1618500246,UKR
7159867,804,UKR39264,39264,"10 July 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","NAF: United Armed Forces of Novorossiya",,2,"Military Forces of Ukraine (2019-)",,1,12,Europe,Ukraine,Donetsk,Bakhmutskyi,Svitlodarska,Novoluhanske,48.4263,38.1711,2,"OSCE SMM-Ukraine; Ministry of Defence of Ukraine; JFO HQ press centre",Other,"On 10 July 2020, the NAF rebel forces fired 120mm and 82mm mortars at the governmental positions near Novoluhanske, Donetsk. The OSCE SMM observed a total of 2 explosions/bursts of fire involving unknown weapons near Novoluhanske. During the day, one Ukrainian soldier was killed and three were wounded at unspecified locations [1 fatality split among 11 events].",0,1618500246,UKR
7159868,804,UKR39265,39265,"10 July 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","NAF: United Armed Forces of Novorossiya",,2,"Military Forces of Ukraine (2019-)",,1,12,Europe,Ukraine,Luhansk,Sievierodonetskyi,Hirska,Katerynivka,48.6691,38.4849,2,"Ministry of Defence of Ukraine; JFO HQ press centre",Other,"On 10 July 2020, the NAF rebel forces fired anti-tank guided missiles at the governmental positions near Katerynivka, Luhansk. During the day, one Ukrainian soldier was killed and three were wounded at unspecified locations [1 fatality split among 11 events].",0,1618500246,UKR
7159869,804,UKR39266,39266,"10 July 2020",2020,1,Battles,"Armed clash","NAF: United Armed Forces of Novorossiya",,2,"Military Forces of Ukraine (2019-)",,1,12,Europe,Ukraine,Donetsk,Mariupolskyi,Sartanska,Vodyane,47.1478,37.7881,2,"JFO HQ press centre; Ministry of Defence of Ukraine",Other,"On 10 July 2020, the NAF rebel forces fired 120mm mortars, grenade launchers and small arms at the governmental positions near Vodyane, Donetsk. During the day, one Ukrainian soldier was killed and three were wounded at unspecified locations [1 fatality split among 11 events].",0,1618500246,UKR
7159872,804,UKR39269,39269,"10 July 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","NAF: United Armed Forces of Novorossiya",,2,"Military Forces of Ukraine (2019-)",,1,12,Europe,Ukraine,Donetsk,Mariupolskyi,Sartanska,Lebedynske,47.1269,37.7527,2,"Ministry of Defence of Ukraine; JFO HQ press centre",Other,"On 10 July 2020, the NAF rebel forces fired grenade launchers at the governmental positions near Lebedynske, Donetsk. During the day, one Ukrainian soldier was killed and three were wounded at unspecified locations [1 fatality split among 11 events].",0,1618500247,UKR
7159882,804,UKR39300,39300,"10 July 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya","Donbass People's Militia",2,12,Europe,Ukraine,Donetsk,Donetskyi,Yasynuvatska,Spartak,48.079,37.7635,2,"DPR Armed Forces Press Service; OSCE SMM-Ukraine",Other,"On 10 July 2020, the Ukrainian Forces fired 82mm mortars at the positions of the Donbass People's Militia in the area of Spartak, Donetsk. The OSCE SMM observed a total of 5 explosions involving unknown weapons near Spartak.",0,1618500248,UKR
