id,relid,year,start_year,end_year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,iso3,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
,,#date+year,#date+year+start,#date+year+end,,,,,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,,#adm1+name,#adm2+name,#geo+lat,#country+code,#geo+lon,,,#country+name,,#region+name,,,#date+start,#date+end,,,,,#affected+killed,,,,
264634,UKR-2018-1-15100-136,2018,2018,2018,1,Clear,1,13306,13306,Ukraine: Novorossiya,15100,15100,Government of Ukraine - DPR,61,61,Government of Ukraine,6711,6711,DPR,2,"""Joint Forces Operation Facebook,2018-09-02,-"";""Unian,2018-09-02,One Ukrainian soldier killed, another two wounded in past day amid ""back-to-school"" truce   Read more on UNIAN: https://www.unian.info/war/10245810-one-ukrainian-soldier-killed-another-two-wounded-in-past-day-amid-back-to-school-truce.html""",Joint Forces Operation Facebook;Unian,2018-09-02;2018-09-02,"-;One Ukrainian soldier killed, another two wounded in past day amid ""back-to-school"" truce   Read more on UNIAN: https://www.unian.info/war/10245810-one-ukrainian-soldier-killed-another-two-wounded-in-past-day-amid-back-to-school-truce.html","JFO, UNIAN",5,Donets Basin Area,,,,48.150000,UKR,38.650000,POINT (38.650000 48.150000),199158,Ukraine,369,Europe,1,1,2018-09-01 00:00:00.000,2018-09-01 00:00:00.000,1,0,0,0,1,1,0,369,
264432,UKR-2018-1-15100-131,2018,2018,2018,1,Clear,1,13306,13306,Ukraine: Novorossiya,15100,15100,Government of Ukraine - DPR,61,61,Government of Ukraine,6711,6711,DPR,2,"""Joint Forces Operation Facebook,2018-09-08,-"";""Unian,2018-09-08,JFO: Ukraine reports 1 KIA, 2 WIA's in Donbas in past day   Read more on UNIAN: https://www.unian.info/war/10253403-jfo-ukraine-reports-1-kia-2-wia-s-in-donbas-in-past-day.html""",Joint Forces Operation Facebook;Unian,2018-09-08;2018-09-08,"-;JFO: Ukraine reports 1 KIA, 2 WIA's in Donbas in past day   Read more on UNIAN: https://www.unian.info/war/10253403-jfo-ukraine-reports-1-kia-2-wia-s-in-donbas-in-past-day.html","JFO, UNIAN",5,Donets Basin Area,,,,48.150000,UKR,38.650000,POINT (38.650000 48.150000),199158,Ukraine,369,Europe,1,1,2018-09-07 00:00:00.000,2018-09-07 00:00:00.000,1,0,0,0,1,1,0,369,
264434,UKR-2018-1-15100-132,2018,2018,2018,1,Clear,1,13306,13306,Ukraine: Novorossiya,15100,15100,Government of Ukraine - DPR,61,61,Government of Ukraine,6711,6711,DPR,2,"""Joint Forces Operation Facebook,2018-09-11,-"";""Unian,2018-09-11,Ukraine reports casualties in Donbas in past day: 1 KIA, 1 WIA   Read more on UNIAN: https://www.unian.info/war/10255896-ukraine-reports-casualties-in-donbas-in-past-day-1-kia-1-wia.html""",Joint Forces Operation Facebook;Unian,2018-09-11;2018-09-11,"-;Ukraine reports casualties in Donbas in past day: 1 KIA, 1 WIA   Read more on UNIAN: https://www.unian.info/war/10255896-ukraine-reports-casualties-in-donbas-in-past-day-1-kia-1-wia.html","JFO, UNIAN",5,Donets Basin Area,,,,48.150000,UKR,38.650000,POINT (38.650000 48.150000),199158,Ukraine,369,Europe,1,1,2018-09-10 00:00:00.000,2018-09-10 00:00:00.000,1,0,0,0,1,1,0,369,
264436,UKR-2018-1-15100-133,2018,2018,2018,1,Clear,1,13306,13306,Ukraine: Novorossiya,15100,15100,Government of Ukraine - DPR,61,61,Government of Ukraine,6711,6711,DPR,2,"""Joint Forces Operation Facebook,2018-09-12,-"";""Unian,2018-09-12,JFO: Ukraine reports 1 KIA, 3 WIA's in Donbas in past day   Read more on UNIAN: https://www.unian.info/war/10257216-jfo-ukraine-reports-1-kia-3-wia-s-in-donbas-in-past-day.html""",Joint Forces Operation Facebook;Unian,2018-09-12;2018-09-12,"-;JFO: Ukraine reports 1 KIA, 3 WIA's in Donbas in past day   Read more on UNIAN: https://www.unian.info/war/10257216-jfo-ukraine-reports-1-kia-3-wia-s-in-donbas-in-past-day.html","JFO, UNIAN",5,Donets Basin Area,,,,48.150000,UKR,38.650000,POINT (38.650000 48.150000),199158,Ukraine,369,Europe,1,1,2018-09-11 00:00:00.000,2018-09-11 00:00:00.000,1,0,0,0,1,1,0,369,
266759,UKR-2018-1-15100-142.1,2018,2018,2018,1,Clear,1,13306,13306,Ukraine: Novorossiya,15100,15100,Government of Ukraine - DPR,61,61,Government of Ukraine,6711,6711,DPR,2,"""Joint Forces Operation Facebook,2018-09-19,-"";""Ministry of Defence of Ukraine,2018-09-19,Situation Update, east of Ukraine as of morning, September 19, 2018""",Joint Forces Operation Facebook;Ministry of Defence of Ukraine,2018-09-19;2018-09-19,"-;Situation Update, east of Ukraine as of morning, September 19, 2018","JFO, Ministry of Defence",5,Donets Basin Area,,,,48.150000,UKR,38.650000,POINT (38.650000 48.150000),199158,Ukraine,369,Europe,1,1,2018-09-18 00:00:00.000,2018-09-18 00:00:00.000,1,0,0,0,1,1,0,369,
275479,UKR-2018-1-15100-165,2018,2018,2018,1,Clear,1,13306,13306,Ukraine: Novorossiya,15100,15100,Government of Ukraine - DPR,61,61,Government of Ukraine,6711,6711,DPR,1,"""Interfax: Russia & CIS Military Weekly,2018-09-28,Newly Independent States; Donetsk militiaman killed in Ukrainian attack""",Interfax: Russia & CIS Military Weekly,2018-09-28,Newly Independent States; Donetsk militiaman killed in Ukrainian attack,"Ivan Prykhodko, major of Horlivka",1,Krasnij Partizan village,village of Krasny Partizan,Donetsk Oblast,Yasynuvata Raion,48.197222,UKR,37.907222,POINT (37.907222 48.197222),199156,Ukraine,369,Europe,1,2,2018-09-22 00:00:00.000,2018-09-24 00:00:00.000,0,1,0,0,1,1,1,369,
266717,UKR-2018-1-15100-138,2018,2018,2018,1,Clear,1,13306,13306,Ukraine: Novorossiya,15100,15100,Government of Ukraine - DPR,61,61,Government of Ukraine,6711,6711,DPR,2,"""World Service Wire,2018-09-27,Two militias killed as Kiev troops shell motor ambulance in DPR"";""Interfax: Russia & CIS Military Weekly,2018-09-28,Newly Independent States; Two militiamen killed in Ukrainian attack on Kominternove - DPR""",World Service Wire;Interfax: Russia & CIS Military Weekly,2018-09-27;2018-09-28,Two militias killed as Kiev troops shell motor ambulance in DPR;Newly Independent States; Two militiamen killed in Ukrainian attack on Kominternove - DPR,"Daniil Bezsonov, spokesman for the DPR operations command",1,Kominternove village,,Donetsk Oblast,Novoazovsk Raion,47.174126,UKR,37.814764,POINT (37.814764 47.174126),197716,Ukraine,369,Europe,1,1,2018-09-27 00:00:00.000,2018-09-27 00:00:00.000,0,2,0,0,2,2,2,369,
266744,UKR-2018-1-15100-140,2018,2018,2018,1,Clear,1,13306,13306,Ukraine: Novorossiya,15100,15100,Government of Ukraine - DPR,61,61,Government of Ukraine,6711,6711,DPR,1,"""World Service Wire,2018-10-01,Ukrainian military’s shelling kills two DPR fighters in 24 hours""",World Service Wire,2018-10-01,Ukrainian military’s shelling kills two DPR fighters in 24 hours,Spokesman for the DPR Operational Command,1,Kominternove village,Kominternovo,Donetsk Oblast,Novoazovsk Raion,47.174126,UKR,37.814764,POINT (37.814764 47.174126),197716,Ukraine,369,Europe,1,2,2018-09-30 00:00:00.000,2018-10-01 00:00:00.000,0,2,0,0,2,2,2,369,
266739,UKR-2018-1-15100-139,2018,2018,2018,1,Clear,1,13306,13306,Ukraine: Novorossiya,15100,15100,Government of Ukraine - DPR,61,61,Government of Ukraine,6711,6711,DPR,3,"""Agence France Presse,2018-09-30,Mine kills three children in rebel-held east Ukraine"";""Reuters News,2018-09-30,Three schoolboys killed by mine in east Ukraine"";""OSCE,2018-10-02,Latest from the OSCE Special Monitoring Mission to Ukraine (SMM), based on information received as of 19:30, 1 October 2018""",Agence France Presse;Reuters News;OSCE,2018-09-30;2018-09-30;2018-10-02,"Mine kills three children in rebel-held east Ukraine;Three schoolboys killed by mine in east Ukraine;Latest from the OSCE Special Monitoring Mission to Ukraine (SMM), based on information received as of 19:30, 1 October 2018","separatist ""defence minister"" Eduard Basurin, OSCE",1,Horlivka town,Gorlivka,Donetsk Oblast,Horlivka City Municipality,48.300000,UKR,38.050000,POINT (38.050000 48.300000),199157,Ukraine,369,Europe,1,1,2018-09-30 00:00:00.000,2018-09-30 00:00:00.000,0,0,3,0,3,3,3,369,
266790,UKR-2018-1-15100-143,2018,2018,2018,1,Clear,1,13306,13306,Ukraine: Novorossiya,15100,15100,Government of Ukraine - DPR,61,61,Government of Ukraine,6711,6711,DPR,1,"""Joint Forces Operation Facebook,2018-10-03,-""",Joint Forces Operation Facebook,2018-10-03,-,JFO,5,Donets Basin Area,,,,48.150000,UKR,38.650000,POINT (38.650000 48.150000),199158,Ukraine,369,Europe,1,1,2018-10-02 00:00:00.000,2018-10-02 00:00:00.000,1,0,0,0,1,1,0,369,
266753,UKR-2018-1-15100-141,2018,2018,2018,1,Clear,1,13306,13306,Ukraine: Novorossiya,15100,15100,Government of Ukraine - DPR,61,61,Government of Ukraine,6711,6711,DPR,1,"""World Service Wire,2018-10-07,DPR serviceman killed in shelling by Ukrainian troops - DPR people’s militia""",World Service Wire,2018-10-07,DPR serviceman killed in shelling by Ukrainian troops - DPR people’s militia,"DPR people’s militia spokesman, Daniis Bezsonov",4,Donetsk Oblast,,Donetsk Oblast,,48.140000,UKR,37.740000,POINT (37.740000 48.140000),199156,Ukraine,369,Europe,1,2,2018-10-06 00:00:00.000,2018-10-07 00:00:00.000,0,1,0,0,1,1,1,369,
266887,UKR-2018-1-15100-145,2018,2018,2018,1,Clear,1,13306,13306,Ukraine: Novorossiya,15100,15100,Government of Ukraine - DPR,61,61,Government of Ukraine,6711,6711,DPR,1,"""Ministry of Defense of Ukraine,2018-10-10,Situation Update, east of Ukraine as of morning, October 10, 2018""",Ministry of Defense of Ukraine,2018-10-10,"Situation Update, east of Ukraine as of morning, October 10, 2018",Ministry of Defence of Ukraine,5,Donets Basin Area,,,,48.150000,UKR,38.650000,POINT (38.650000 48.150000),199158,Ukraine,369,Europe,1,1,2018-10-09 00:00:00.000,2018-10-09 00:00:00.000,1,0,0,0,1,1,0,369,
270683,UKR-2018-1-15100-147.1,2018,2018,2018,1,Clear,1,13306,13306,Ukraine: Novorossiya,15100,15100,Government of Ukraine - DPR,61,61,Government of Ukraine,6711,6711,DPR,1,"""Agence France Presse,2018-10-11,Four Ukrainian soldiers killed in war-torn east: military""",Agence France Presse,2018-10-11,Four Ukrainian soldiers killed in war-torn east: military,the defence ministry,5,Donets Basin Area,,,,48.150000,UKR,38.650000,POINT (38.650000 48.150000),199158,Ukraine,369,Europe,1,2,2018-10-10 00:00:00.000,2018-10-11 00:00:00.000,2,0,0,0,2,2,0,369,
275416,UKR-2018-1-15100-160,2018,2018,2018,1,Clear,1,13306,13306,Ukraine: Novorossiya,15100,15100,Government of Ukraine - DPR,61,61,Government of Ukraine,6711,6711,DPR,1,"""OHCHR,2018-12-17,Report on the human rights situation in Ukraine 16 August to 15 November 2018""",OHCHR,2018-12-17,Report on the human rights situation in Ukraine 16 August to 15 November 2018,OHCHR,1,Horlivka town,Horlivka,Donetsk Oblast,Horlivka City Municipality,48.300000,UKR,38.050000,POINT (38.050000 48.300000),199157,Ukraine,369,Europe,1,1,2018-10-14 00:00:00.000,2018-10-14 00:00:00.000,0,0,0,1,1,1,1,369,
271138,UKR-2018-1-15100-149,2018,2018,2018,1,Clear,1,13306,13306,Ukraine: Novorossiya,15100,15100,Government of Ukraine - DPR,61,61,Government of Ukraine,6711,6711,DPR,1,"""World Service Wire,2018-10-22,Four DPR servicemen killed in shelling by Ukrainian troops over past day - DPR’s defense ministry""",World Service Wire,2018-10-22,Four DPR servicemen killed in shelling by Ukrainian troops over past day - DPR’s defense ministry,"Daniil Bezsonov, a spokesman for the DPR’s defense ministry",2,Kominternove village,village of Kominternovo,Donetsk Oblast,Novoazovsk Raion,47.174126,UKR,37.814764,POINT (37.814764 47.174126),197716,Ukraine,369,Europe,1,3,2018-10-15 00:00:00.000,2018-10-21 00:00:00.000,0,1,0,0,1,1,1,369,
